FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Stephanie White, Yale,Stephanie White,2005,4,,,,,Yale University,Stephanie,W,White,P.,,,
Camilla Hsu, Yale,Camilla Hsu,2006,1,,,,,Yale University,Camilla,W,Hsu,,,,
Juliette Vartikar, Yale,Juliette Vartikar,2006,3,,,,,Yale University,Juliette,W,Vartikar,M.,,,
Christine Alford, Yale,Christine Alford,2007,4,,,,,Yale University,Christine,W,Alford,J.,,,
Aimee Kim, Yale,Aimee Kim,2007,3,,,,,Yale University,Aimee,W,Kim,S.,,,
Olivia Nix, Yale,Olivia Nix,2007,4,,,,,Yale University,Olivia,W,Nix,J.,,,
Rashmee Patil, Yale,Rashmee Patil,2007,3,,,,,Yale University,Rashmee,W,Patil,,,,
Lindsey Dashiell, Yale,Lindsey Dashiell,2008,4,,,,,Yale University,Lindsey,W,Dashiell,M.,,,
Catherine Starr, Yale,Catherine Starr,2008,1,,,,,Yale University,Catherine,W,Starr,E.,,,
Janet Kim, Yale,Janet Kim,2009,4,,,,,Yale University,Janet,W,Kim,M.,,,
Karolina Grygierowska, Yale,Karolina Grygierowska,2009,2,,,,,Yale University,Karolina,W,Grygierowska,,,,
Christina Cutter, Yale,Christina Cutter,2009,3,,,,,Yale University,Christina,W,Cutter,M.,,,
Ashley Miles, Yale,Ashley Miles,2009,2,,,,,Yale University,Ashley,W,Miles,D.,,,
Lillian Nguyen, Yale,Lillian Nguyen,2009,3,,,,,Yale University,Lillian,W,Nguyen,,,,
Jenna Ritz, Yale,Jenna Ritz,2010,1,https://yalebulldogs.com/sports/womens-tennis/roster/jenna-ritz/8622,"Thousand Oaks, Calif.",Thousand Oaks High School,['First Year'],Yale University,Jenna,W,Ritz,,,Jenna Ritz,"[""2009-10 Women's Tennis""]"
Jessica Rhee, Yale,Jessica Rhee,2010,1,https://yalebulldogs.com/sports/womens-tennis/roster/jessica-rhee/8621,"Dayton, OH",Centerville High School,['Senior'],Yale University,Jessica,W,Rhee,,,Jessica Rhee,"[""2009-10 Women's Tennis""]"
Sarah Lederhandler, Yale,Sarah Lederhandler,2010,1,https://yalebulldogs.com/sports/womens-tennis/roster/sarah-lederhandler/8619,"Miami, FL",Ransom Everglades Upper School,['Senior'],Yale University,Sarah,W,Lederhandler,,,Sarah Lederhandler,"[""2009-10 Women's Tennis""]"
Lauren Ritz, Yale,Lauren Ritz,2011,1,,,,,Yale University,Lauren,W,Ritz,A.,,,
Lindsay Clark, Yale,Lindsay Clark,2011,2,https://yalebulldogs.com/sports/womens-tennis/roster/lindsay-clark/8624,"Bernardsville, NJ",Bernardsville High School,['Junior' 'Senior'],Yale University,Lindsay,W,Clark,,,Lindsay Clark,"[""2009-10 Women's Tennis"" ""2010-11 Women's Tennis""]"
Kim Szokol, Yale,Kim Szokol,2011,1,https://yalebulldogs.com/sports/womens-tennis/roster/kim-szokol/8631,"Winnetka, Ill.",New Trier,['First Year'],Yale University,Kim,W,Szokol,,,Kim Szokol,"[""2010-11 Women's Tennis""]"
